Denali,dena,National Park & Preserve,AK,63.29777484,-151.0526568
Devils Postpile,depo,National Monument,CA,37.6152564,-119.0873903
Devils Tower,deto,National Monument,WY,44.59064655,-104.7156341
Dinosaur,dino,National Monument,"CO,UT",40.50739742,-108.9333714
Dry Tortugas,drto,National Park,FL,24.628741,-82.87319
Dwight D. Eisenhower,ddem,Memorial,DC,38.8869476647,-77.018737554
Ebey's Landing,ebla,National Historical Reserve,WA,48.21403036,-122.6877213
Edgar Allan Poe,edal,National Historic Site,PA,39.96195482,-75.1500062
Effigy Mounds,efmo,National Monument,IA,43.08095081,-91.19687517
Eisenhower,eise,National Historic Site,PA,39.79577592,-77.26508101
El Camino Real de Tierra Adentro,elca,National Historic Trail,"NM,TX",33.7990672546,-106.866386195
El Camino Real de los Tejas,elte,National Historic Trail,"TX,LA",30.0922964581,-97.3397666725
El Malpais,elma,National Monument,NM,34.88422799,-107.9950948
El Morro,elmo,National Monument,NM,35.03895916,-108.3463984
Eleanor Roosevelt,elro,National Historic Site,NY,41.76208482,-73.89894026
Ellis Island,elis,Part of Statue of Liberty National Monument,"NJ,NY",40.69946,-74.0401
Emmett Till and Mamie Till-Mobley,till,National Monument,"IL,MS",33.9711,-90.3698
Eugene O'Neill,euon,National Historic Site,CA,37.82604456,-122.0271566
Everglades,ever,National Park,FL,25.37294225,-80.88200301
Federal Hall,feha,National Memorial,NY,40.70731192,-74.01025636
Fire Island,fiis,National Seashore,NY,40.69668638,-73.00013462
First Ladies,fila,National Historic Site,OH,40.79689857,-81.37579869
First State,frst,National Historical Park,"DE,PA",39.83076929,-75.56353942
Flight 93,flni,National Memorial,PA,40.06061476,-78.89456905
Florissant Fossil Beds,flfo,National Monument,CO,38.91260586,-105.2803396
Ford's Theatre,foth,,DC,38.89668819,-77.02577944
Fort Bowie,fobo,National Historic Site,AZ,32.14925942,-109.451132
Fort Davis,foda,National Historic Site,TX,30.59930381,-103.8961904
Fort Donelson,fodo,National Battlefield,"KY,TN",36.49019078,-87.92445695
Fort Dupont Park,fodu,,DC,38.87731289,-76.94955824
Fort Foote,fofo,Park,MD,38.76901785,-77.02812387
Fort Frederica,fofr,National Monument,GA,31.2214699,-81.39452014
Fort Laramie,fola,National Historic Site,WY,42.20301694,-104.5459112
Fort Larned,fols,National Historic Site,KS,38.18047491,-99.21836664
Fort Matanzas,foma,National Monument,FL,29.7121489,-81.23567535
Fort McHenry,fomc,National Monument and Historic Shrine,MD,39.26395314,-76.58044165
Fort Monroe,fomr,National Monument,VA,37.01733343,-76.30103195
Fort Necessity,fone,National Battlefield,PA,39.81306048,-79.59033344
Fort Point,fopo,National Historic Site,CA,37.80837439,-122.473747
Fort Pulaski,fopu,National Monument,GA,32.0308274,-80.93361681
Fort Raleigh,fora,National Historic Site,NC,35.93278602,-75.71496865
Fort Scott,fosc,National Historic Site,KS,37.84358849,-94.70429174
Fort Smith,fosm,National Historic Site,"AR,OK",35.38834746,-94.43129079
Fort Stanwix,fost,National Monument,NY,43.21053441,-75.45557626
Fort Sumter and Fort Moultrie,fosu,National Historical Park,SC,32.75654469,-79.87068744
Fort Union,foun,National Monument,NM,35.90700629,-105.0145185
Fort Union Trading Post,fous,National Historic Site,"MT,ND",48.00075828,-104.0375238
Fort Vancouver,fova,National Historic Site,"OR,WA",45.62234841,-122.6617043
Fort Washington,fowa,Park,MD,38.7117,-77.0302
Fossil Butte,fobu,National Monument,WY,41.85635223,-110.7624754
Franklin Delano Roosevelt Memorial,frde,,DC,38.88341274,-77.04311542
Frederick Douglass,frdo,National Historic Site,DC,38.86298458,-76.98508147
Frederick Law Olmsted,frla,National Historic Site,MA,42.32424266,-71.13202567
Fredericksburg & Spotsylvania,frsp,National Military Park,VA,38.29378,-77.46734
Freedom Riders,frri,National Monument,AL,33.635269165,-85.9064331055
Friendship Hill,frhi,National Historic Site,PA,39.77543423,-79.92504169
Gates Of The Arctic,gaar,National Park & Preserve,AK,67.75961636,-153.2917758
Gateway Arch,jeff,National Park,MO,38.6258069,-90.1892508
Gateway,gate,National Recreation Area,"NY,NJ",40.56536246,-73.9171087
Gauley River,gari,National Recreation Area,WV,38.20614947,-81.00420836
General Grant,gegr,National Memorial,NY,40.81332817,-73.96331542
George Rogers Clark,gero,National Historical Park,IN,38.67912659,-87.53545212
George Washington Birthplace,gewa,National Monument,VA,38.19362603,-76.92079458
George Washington Carver,gwca,National Monument,MO,36.9871322,-94.35522737
George Washington,gwmp,Memorial Parkway,"DC,MD,VA",38.9628,-77.1495
Gettysburg,gett,National Military Park,PA,39.81557366,-77.23246758
Gila Cliff Dwellings,gicl,National Monument,NM,33.22715258,-108.2706711
Glacier Bay,glba,National Park & Preserve,AK,58.80086718,-136.8407579
Glacier,glac,National Park,MT,48.68414678,-113.8009306
Glen Canyon,glca,National Recreation Area,"AZ,UT",36.9357464677,-111.485594268
