X,Y,UNIT_NAME,STATE,UNIT_TYPE
-72.374031645200617,43.500468791305089,Saint-Gaudens National Historic Site,NH,National Historic Site
-71.123238463271932,42.346936939336388,John Fitzgerald Kennedy National Historic Site,MA,National Historic Site
-90.175629320310904,38.622116100714578,Jefferson National Expansion Memorial,MO,National Memorial
-80.94362859001204,32.034777427089423,Fort Pulaski National Monument,GA,National Monument
-73.896877480121034,41.760863892627405,Eleanor Roosevelt National Historic Site,NY,National Historic Site
-79.925280039437737,39.775454881879696,Friendship Hill National Historic Site,PA,National Historic Site
-73.989012679688628,40.738593115111314,Theodore Roosevelt Birthplace National Historic Site,NY,National Historic Site
-110.256157222214227,31.349002725464821,Coronado National Memorial,AZ,National Memorial
-75.670220373564533,36.016211343156044,Wright Brothers National Memorial,NC,National Memorial
-86.728237017621808,32.270820921919551,Selma to Montgomery National Historic Trail,AL,National Historic Trail
-81.38978803923402,35.139005544638437,Kings Mountain National Military Park,SC,National Military Park
-112.493986197398982,41.630995746333959,Golden Spike National Historic Site,UT,National Historic Site
-70.923196151352329,41.635647940361238,New Bedford Whaling National Historical Park,MA,National Historical Park
-73.496686534379762,40.885572793853051,Sagamore Hill National Historic Site,NY,National Historic Site
-121.517803232867294,41.758726432334115,Lava Beds National Monument,CA,National Monument
-76.844513572073296,42.902620069899825,Women's Rights National Historical Park,NY,National Historical Park
-87.537007689841246,38.678402123180462,George Rogers Clark National Historical Park,IN,National Historical Park
-71.12636955916102,42.376988534115569,Longfellow House-Washington's Headquarters National Historic Site,MA,National Historic Site
-75.768116266029921,40.206072302968323,Hopewell Furnace National Historic Site,PA,National Historic Site
-77.043115415671892,38.883412734654407,Franklin Delano Roosevelt Memorial,DC,National Memorial
-111.836615307732444,34.611020594882397,Montezuma Castle National Monument,AZ,National Monument
-118.587244703760973,36.898614512579648,Kings Canyon National Park,CA,National Park
-72.581125602743157,42.108304357962894,Springfield Armory National Historic Site,MA,National Historic Site
-118.46548756308944,46.042650918256399,Whitman Mission National Historic Site,WA,National Historic Site
-77.040375896313449,38.889239165018509,World War II Memorial,DC,National Memorial
-77.047657355240574,38.89096296585479,Vietnam Veterans Memorial,DC,National Memorial
-77.048077335602215,38.887921329447288,Korean War Veterans Memorial,DC,National Memorial
-77.044266583352282,38.890936734088065,Constitution Gardens,DC,Other Designation
-77.044397065443931,38.886282092590854,"Martin Luther King, Jr., Memorial",DC,Other Designation
-77.050177779094483,38.889272291655843,Lincoln Memorial,DC,National Memorial
-77.022784384835589,38.889866025468564,National Mall,DC,Other Designation
-85.818586480430184,34.970839233805634,Russell Cave National Monument,AL,National Monument
-77.436748076832501,37.547328247793189,Maggie L. Walker National Historic Site,VA,National Historic Site
-103.89619053125287,30.599303621677144,Fort Davis National Historic Site,TX,National Historic Site
-108.026403610055254,45.289074185912781,Bighorn Canyon National Recreation Area,WY,National Recreation Area
-155.899677671258672,19.409031349594994,Pu'uhonua o Honaunau National Historical Park,HI,National Historical Park
-99.617872582561901,39.390388605990061,Nicodemus National Historic Site,KS,National Historic Site
-122.583964034127177,37.898468584279932,Muir Woods National Monument,CA,National Monument
-94.530662823835456,38.901274958508978,Harry S Truman National Historic Site,MO,National Historic Site
-102.516951374606663,38.564134386281282,Sand Creek Massacre National Historic Site,CO,National Historic Site
-101.392015628785174,47.368500538722941,Knife River Indian Villages National Historic Site,ND,National Historic Site
-74.537493761167752,40.767803653419108,Morristown National Historical Park,NJ,National Historical Park
-91.351499538250408,41.667292930439061,Herbert Hoover National Historic Site,IA,National Historic Site
-73.715295060403193,42.366663759220536,Martin Van Buren National Historic Site,NY,National Historic Site
-74.016827667683415,40.691615632283629,Governors Island National Monument,NY,National Monument
-103.707243103896587,41.834761397143701,Scotts Bluff National Monument,NE,National Monument
-78.77673480904825,40.344921799776785,Johnstown Flood National Memorial,PA,National Memorial
-99.704451423619474,35.620839551290672,Washita Battlefield National Historic Site,OK,National Historic Site
-103.743998999659695,42.421471849261138,Agate Fossil Beds National Monument,NE,National Monument
-89.480531150631933,41.836212666357532,Ronald Reagan Boyhood Home National Historic Site,IL,National Historic Site
-111.28300359642445,38.383552845188582,Capitol Reef National Park,UT,National Park
-78.894570210616521,40.060611508507151,Flight 93 National Memorial,PA,National Memorial
-119.087686110768985,37.615373611479896,Devils Postpile National Monument,CA,National Monument
-122.424424742549022,37.810066472945984,San Francisco Maritime National Historical Park,CA,National Historical Park
-97.46272179818105,26.024742153766301,Palo Alto Battlefield National Historical Park,TX,National Historical Park
-115.860110765789855,33.827052366735252,Joshua Tree National Park,CA,National Park
-64.707939931892426,18.273508988910045,Virgin Islands Coral Reef National Monument,VI,National Monument
-72.538238390755595,43.633822348944513,Marsh-Billings-Rockefeller National Historical Park,VT,National Historical Park
-85.597246421969473,34.451905600734975,Little River Canyon National Preserve,AL,National Preserve
-83.892230815560779,39.707440631704003,Charles Young Buffalo Soldiers National Monument,OH,National Monument
-84.064421812513842,39.803967520781448,Dayton Aviation Heritage National Historical Park,OH,National Historical Park
-77.265081024065537,39.795774873311551,Eisenhower National Historic Site,PA,National Historic Site
-81.375932640785763,40.796622173542623,First Ladies National Historic Site,OH,National Historic Site
-106.752243074561932,35.134266442435084,Petroglyph National Monument,NM,National Monument
-118.56157809336203,35.227293805405658,Cesar E. Chavez National Monument,CA,National Monument
-79.588690697059377,39.810037486858945,Fort Necessity National Battlefield,PA,National Battlefield
-101.900432754094368,43.84457664083034,Minuteman Missile National Historic Site,SD,National Historic Site
-106.089799687743508,34.25942388731017,Salinas Pueblo Missions National Monument,NM,National Monument
-121.180992367736522,36.490214618660225,Pinnacles National Park,CA,National Park
-64.741943968140063,18.342793451680283,Virgin Islands National Park,VI,National Park
-105.697769012890319,40.355659945767627,Rocky Mountain National Park,CO,National Park
-117.132627803826466,36.483930634320302,Death Valley National Park,CA,National Park
-76.580441643693845,39.263953110508105,Fort McHenry National Monument and Historic Shrine,MD,National Monument and Historic Shrine
-99.631941584215085,42.725862134019856,Niobrara National Scenic River,NE,National Scenic River
-112.185254042274195,36.186545146970587,Grand Canyon National Park,AZ,National Park
-114.651902907116053,35.71471937064512,Lake Mead National Recreation Area,NV,National Recreation Area
-71.007759262743846,42.468499282679737,Saugus Iron Works National Historic Site,MA,National Historic Site
-71.410566653259764,41.829895490349557,Roger Williams National Memorial,RI,National Memorial
-111.532538328411164,32.997025657285803,Casa Grande Ruins National Monument,AZ,National Monument
-84.5789165581497,33.978058590625885,Kennesaw Mountain National Battlefield Park,GA,National Battlefield Park
-64.739965342488503,17.734055719855405,Christiansted National Historic Site,VI,National Historic Site
-78.531860930217618,40.446771360883801,Allegheny Portage Railroad National Historic Site,PA,National Historic Site
-82.643354161443,27.522726106889394,De Soto National Memorial,FL,National Memorial
-84.12989004676524,32.198303222272038,Andersonville National Historic Site,GA,National Historic Site
-83.596759843086772,32.839738288046853,Ocmulgee National Monument,GA,National Monument
-81.809354009821661,35.131605929446835,Cowpens National Battlefield,SC,National Battlefield
-109.341606471267468,32.012141053391638,Chiricahua National Monument,AZ,National Monument
-84.371693302495061,33.754920070476565,"Martin Luther King, Jr., National Historic Site",GA,National Historic Site
-77.238469826162188,39.804284879787822,Gettysburg National Military Park,PA,National Military Park
144.655113939606792,13.390010682665475,War in the Pacific,GU,National Historical Park
-104.715634199652328,44.590645620942304,Devils Tower National Monument,WY,National Monument
-71.055749201090961,42.373377535613351,Boston National Historical Park,MA,National Historical Park
-123.40164053669973,42.103136500294269,Oregon Caves National Monument and Preserve,OR,National Monument
-73.963075672795895,40.813434355619549,General Grant National Memorial,NY,National Memorial
-83.37620463460496,41.91291081594774,River Raisin National Battlefield Park,MI,National Battlefield Park
-122.551127972140648,37.858876765585265,Golden Gate National Recreation Area,CA,National Recreation Area
-122.0301602728929,38.056854708159982,Port Chicago Naval Magazine National Memorial,CA,National Memorial
-76.835220575917575,39.063192905786032,National Capital Parks,DC,Park
-119.634318493529349,44.543135998267836,John Day Fossil Beds National Monument,OR,National Monument
-75.56362481769699,39.831844339146762,First State National Historical Park,DE,National Historical Park
-79.841868128065954,36.133017797204559,Guilford Courthouse National Military Park,NC,National Military Park
-74.18022528539062,40.915897774572592,Paterson Great Falls National Historical Park,NJ,National Historical Park
-94.034445221631543,36.454779959504428,Pea Ridge National Military Park,AR,National Military Park
-73.4564871724521,41.256758163183719,Weir Farm National Historic Site,CT,National Historic Site
-78.872484107073646,42.901467807978904,Theodore Roosevelt Inaugural National Historic Site,NY,National Historic Site
-121.407204822721269,40.493787392714921,Lassen Volcanic National Park,CA,National Park
-102.393945095989849,43.834002224702445,Badlands National Park,SD,National Park
-158.057498994265643,21.388175100524755,Honouliuli National Monument,HI,National Monument
-87.860883012510058,36.487282221118996,Fort Donelson National Battlefield,TN,National Battlefield
-73.941945711786929,41.796607261391891,Vanderbilt Mansion National Historic Site,NY,National Historic Site
-84.432408026860358,32.026317930602602,Jimmy Carter National Historic Site,GA,National Historic Site
-123.004979270237428,48.462114001113903,San Juan Island National Historical Park,WA,National Historical Park
-73.861044735364715,40.618549699162763,Gateway National Recreation Area,NY,National Recreation Area
-75.009714805527551,41.516956992513656,Upper Delaware Scenic and Recreational River,PA,Scenic and Recreational River
-104.03807859943791,47.998986458801973,Fort Union Trading Post National Historic Site,ND,National Historic Site
-114.247375199711897,42.681042920090803,Minidoka National Historic Site,WA,National Historic Site
-113.64584423040165,45.646472579278267,Big Hole National Battlefield,MT,National Battlefield
-109.340067299656283,36.094047577672953,Canyon de Chelly National Monument,AZ,National Monument
-70.005194304849326,41.960463283597548,Cape Cod National Seashore,MA,National Seashore
-73.631432174097554,42.995204725825829,Saratoga National Historical Park,NY,National Historical Park
-84.393330386736423,35.935395413223645,Manhattan Project National Historical Park,NM,National Historical Park
-121.704372906803087,46.860604436205868,Mount Rainier National Park,WA,National Park
-86.996568625924553,38.118169756218947,Lincoln Boyhood National Memorial,IN,National Memorial
-71.131552159224043,42.323676457650869,Frederick Law Olmsted National Historic Site,MA,National Historic Site
-115.125898612845489,35.228330270349097,Castle Mountains National Monument,CA,National Monument
-76.919809383617803,38.189734812244261,George Washington Birthplace National Monument,VA,National Monument
-73.947291215936829,40.821351584918872,Hamilton Grange National Memorial,NY,National Memorial
-76.588225605817854,39.416577728021672,Hampton National Historic Site,MD,National Historic Site
-97.17606141308049,31.604658813383683,Waco Mammoth National Monument,TX,National Monument
-110.802127551101805,37.397668147567018,Glen Canyon National Recreation Area,UT,National Recreation Area
-119.557143376766078,37.848318785191346,Yosemite National Park,CA,National Park
-96.573815860012871,38.451330653215848,Tallgrass Prairie National Preserve,KS,National Preserve
-85.704412800606207,32.429597553003234,Tuskegee Institute National Historic Site,AL,National Historic Site
-81.500272735241495,30.384605453687101,Fort Caroline National Memorial,FL,National Memorial
-67.133636506461372,45.128588370848128,Saint Croix Island International Historic Site,ME,International Historic Site
-104.545909202121692,42.203016059814324,Fort Laramie National Historic Site,WY,National Historic Site
-92.704459773935383,45.344898136043838,Lower Saint Croix National Scenic Riverway,WI,National Scenic Riverway
-77.387416867527946,38.58583174546348,Prince William Forest Park,VA,Park
-74.041132051225944,40.69831806797189,Statue Of Liberty National Monument,NY,National Monument
-106.305434428155465,35.757585463701623,Bandelier National Monument,NM,National Monument
-106.519614501475033,35.916778813647561,Valles Caldera National Preserve,NM,National Preserve
-103.439164843860183,43.580113601650545,Wind Cave National Park,SD,National Park
-88.795443974464135,34.186413082648905,Natchez Trace Parkway,MS,Parkway
-108.692060906652202,39.050425353445867,Colorado National Monument,CO,National Monument
-77.738766804733743,38.303638738110429,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,VA,National Military Park
-76.634547346631194,37.28246105633913,Colonial National Historical Park,VA,National Historical Park
-156.082237030407583,59.003066162413198,Alagnak Wild River,AK,Wild River
-158.117808825474498,56.895443407298934,Aniakchak National Monument,AK,National Monument
-157.720823949015937,56.865032214563406,Aniakchak National Preserve,AK,National Preserve
-163.920806075072363,65.757048478354093,Bering Land Bridge National Preserve,AK,National Preserve
-163.502573036381392,67.412185429959081,Cape Krusenstern National Monument,AK,National Monument
-150.734145876221561,63.341107640385019,Denali National Park,AK,National Park
-152.439742749212911,63.477507148411128,Denali National Preserve,AK,National Park
-153.386903150762038,67.869005705759065,Gates of the Arctic National Park,AK,National Park
-154.915415843260632,66.779533371346986,Gates of the Arctic National Preserve,AK,National Preserve
-136.810929741696668,58.791439487482364,Glacier Bay National Park,AK,National Park
-138.351430572934419,59.131340672054868,Glacier Bay National Preserve,AK,National Preserve
-154.979633840028868,58.562753208470021,Katmai National Park,AK,National Park
-155.320051147276246,59.106645947677862,Katmai National Preserve,AK,National Preserve
-149.881524484193619,59.953236820720846,Kenai Fjords National Park,AK,National Park
-135.292636707875033,59.631587029785877,Klondike Gold Rush National Historical Park,AK,National Historical Park
-159.198885294136119,67.3533647400494,Kobuk Valley National Park,AK,National Park
-153.248679739117307,60.547148938344357,Lake Clark National Park,AK,National Park
-154.568418383743563,60.184028013140875,Lake Clark National Preserve,AK,National Preserve
-159.394486256239276,68.181439092491686,Noatak National Preserve,AK,National Preserve
-135.315514895529788,57.047139189693333,Sitka National Historical Park,AK,National Historical Park
-142.131988592028648,60.691861284384736,Wrangell-St. Elias National Park,AK,National Park
